País,Número departamento,Departamento,Provincia,Número municipio,Municipio,Circunscripción,Localidad,Recinto,Número Mesa,Código Mesa,Elección,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos,Estado acta
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Instituto Mendez Arcos,22204,100320207290210101,Diputados Uninominales,223,114,0,3,0,41,4,0,7,1,170,26,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Instituto Mendez Arcos,22205,100320207290210102,Presidente y Vicepresidente,223,148,0,0,1,42,0,5,2,0,198,2,7,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Instituto Mendez Arcos,22205,100320207290210102,Diputados Uninominales,223,142,0,1,2,33,4,0,3,0,185,17,5,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Instituto Mendez Arcos,22206,100320207290210103,Presidente y Vicepresidente,215,130,1,3,2,38,0,4,3,0,181,0,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Instituto Mendez Arcos,22206,100320207290210103,Diputados Uninominales,215,115,0,5,2,36,4,0,4,1,167,15,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Instituto Mendez Arcos,22207,100320207290210104,Presidente y Vicepresidente,213,108,1,0,4,60,3,4,0,2,182,1,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Instituto Mendez Arcos,22207,100320207290210104,Diputados Uninominales,213,89,0,2,4,51,3,0,2,4,155,27,5,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Instituto Mendez Arcos,22208,100320207290210105,Presidente y Vicepresidente,217,116,1,5,2,51,0,11,2,1,189,0,5,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Instituto Mendez Arcos,22208,100320207290210105,Diputados Uninominales,217,102,0,7,2,38,7,0,4,1,161,28,5,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Instituto Mendez Arcos,22209,100320207290210106,Presidente y Vicepresidente,225,146,0,0,1,42,2,4,1,0,196,1,6,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Instituto Mendez Arcos,22209,100320207290210106,Diputados Uninominales,225,125,0,2,2,35,5,0,0,1,170,29,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,C. E. Adventista Bello Horizonte,22228,100320207290303101,Presidente y Vicepresidente,232,114,1,3,0,55,2,17,0,2,194,2,5,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,C. E. Adventista Bello Horizonte,22228,100320207290303101,Diputados Uninominales,232,103,0,3,2,56,7,0,3,5,179,18,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,C. E. Adventista Bello Horizonte,22229,100320207290303102,Presidente y Vicepresidente,141,64,1,0,1,37,2,8,0,1,114,1,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,C. E. Adventista Bello Horizonte,22229,100320207290303102,Diputados Uninominales,141,65,0,1,1,30,1,0,0,1,99,17,1,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Colegio Saint Peters,22251,100320207292503805,Presidente y Vicepresidente,214,137,0,0,0,40,1,9,3,0,190,1,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Colegio Saint Peters,22251,100320207292503805,Diputados Uninominales,214,124,0,3,3,37,2,0,10,0,179,14,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Colegio Saint Peters,22252,100320207292503806,Presidente y Vicepresidente,222,149,1,2,0,37,1,5,1,0,196,1,1,Computada
